-10,13,18
-10,13,19
-11,15,20
-12,15,21
-15,18,18
-12,19,18
-10,23,23
-11,19,22
-9,18,18
-4,19,14
-6,18,12
-6,17,10
-5,19,10
-6,21,12
-10,23,11
-12,25,8
-12,24,7
-10,26,7
-8,27,7
-9,24,12
-9,22,10
-10,25,12
-11,29,15
-10,29,11
-10,29,9
-12,29,7
-19,31,26
-22,35,40
-11,11,10
-16,9,0
-12,16,3
-8,12,8
-7,8,24
-14,17,19
-18,13,16
-16,13,16
-13,13,17
-13,14,17
-10,13,16
-9,13,17
-10,14,17
-10,15,17
-11,14,19
-12,13,17
-12,13,17
-12,13,18
-10,14,19
-10,14,17
-10,13,17
-10,15,16
-10,12,19
-9,9,20
-9,8,20
-12,8,18
