-4,-3,-22
-3,-17,-9
1,-15,-2
1,-3,-1
1,12,7
4,11,9
3,5,8
0,1,9
-3,-4,9
-3,-11,8
-4,-12,7
-5,-7,6
-9,-4,6
-10,-11,1
-7,-15,-4
-4,-9,-8
-2,-7,-12
0,-12,-18
0,-2,-25
-1,4,-28
1,-2,-36
0,-1,-43
-1,22,-43
-4,21,-51
-2,20,-54
-1,25,-55
-4,28,-54
-4,29,-53
-4,24,-49
-4,22,-50
-1,22,-54
2,26,-52
-2,32,-51
-7,47,-35
9,103,-58
-6,32,-40
0,8,-38
-9,13,-38
-3,30,-39
2,41,-41
2,41,-45
0,36,-49
-2,41,-52
-3,37,-55
-4,29,-57
-6,24,-57
-5,19,-58
-2,14,-56
-1,11,-50
0,8,-45
1,7,-41
1,3,-34
-2,4,-27
-2,4,-26
-6,-2,-18
-2,-9,-13
1,-11,-8
2,-8,-3
-1,-3,5
-1,-3,7
-1,-9,6
-1,-14,9
0,-21,10
-1,-25,9
-1,-20,7
-4,-12,3
-4,-14,-1
-2,-20,-9
2,-19,-14
1,-15,-21
1,-5,-29
2,-4,-36
-1,-2,-44
2,4,-48
5,12,-55
3,22,-59
-2,38,-63
-3,38,-62
1,37,-62
-1,35,-61
0,39,-60
-1,39,-53
-1,34,-52
-1,26,-49
0,26,-48
-2,46,-44
-1,84,-40
-5,17,-39
-3,9,-36
-5,24,-37
0,29,-41
7,37,-44
5,44,-48
1,44,-53
0,45,-56
0,39,-62
-2,35,-65
-3,29,-67
-4,21,-67
-2,14,-64
0,11,-59
1,7,-52
2,4,-46
5,0,-38
5,-1,-32
3,1,-27
1,-5,-21
0,-8,-16
-1,-12,-8
-2,-11,-3
-4,-15,3
-4,-19,7
-4,-24,11
-5,-26,12
-5,-27,11
-8,-26,10
-8,-23,7
-4,-23,3
0,-22,-2
2,-23,-9
4,-18,-15
4,-12,-25
1,-8,-38
0,5,-44
-5,6,-49
-7,6,-55
-2,24,-58
-9,39,-59
-11,43,-59
-8,34,-58
-2,32,-58
-4,34,-56
-3,34,-56
-4,32,-52
-2,26,-47
-2,24,-49
-6,31,-47
-7,35,-44
-7,47,-38
-9,82,-37
-6,49,-37
-8,39,-39
-8,31,-43
-8,44,-49
-6,45,-53
-8,42,-57
-9,43,-61
-8,40,-65
-7,32,-68
-4,23,-69
-2,14,-66
-3,10,-63
-2,7,-56
2,3,-50
5,-4,-44
6,-5,-34
5,-2,-27
3,0,-22
0,-5,-17
1,-15,-8
1,-17,-2
-1,-13,4
-3,-14,8
-1,-18,12
-2,-20,13
-4,-21,13
-8,-24,13
-6,-23,13
-1,-20,9
-1,-17,5
-1,-17,-1
0,-17,-6
0,-14,-17
-1,-13,-21
-4,1,-31
-3,-1,-37
-3,-4,-44
-4,8,-51
-5,23,-53
-6,31,-55
-9,29,-59
-6,28,-62
-4,36,-60
-1,39,-56
-4,41,-53
0,32,-52
-2,30,-54
-8,28,-51
-13,27,-47
-5,33,-41
-1,34,-39
0,73,-35
-3,72,-32
-7,57,-37
-9,35,-47
-6,39,-48
-5,45,-49
-7,51,-53
-9,50,-59
-9,44,-67
-10,32,-71
-6,23,-73
-3,18,-71
0,11,-65
4,6,-59
7,6,-49
6,4,-45
2,2,-38
2,0,-33
1,-4,-25
1,-6,-19
-1,-13,-12
-2,-16,-5
-3,-16,1
-5,-17,7
-6,-27,11
-7,-26,12
-9,-23,14
-12,-20,14
-11,-19,13
-8,-18,9
-7,-16,6
-7,-15,3
-4,-16,-2
0,-16,-8
3,-15,-19
-1,-9,-25
-3,2,-33
-4,4,-41
-3,4,-47
-1,7,-53
2,21,-57
1,33,-57
-2,36,-59
-3,36,-60
-2,35,-56
-3,38,-56
1,31,-57
0,30,-55
-2,37,-49
-4,39,-47
-4,37,-46
-6,34,-40
3,39,-36
1,50,-33
-3,54,-30
-6,42,-34
-7,34,-42
-7,40,-45
-8,44,-48
-6,49,-55
-5,45,-58
-6,35,-63
-5,31,-65
-4,31,-65
-5,25,-66
-3,18,-65
-2,10,-59
-2,4,-53
-2,3,-47
1,5,-39
2,-2,-32
1,-3,-27
-1,-4,-20
-4,-7,-15
-4,-9,-6
0,-10,-2
3,-4,4
3,0,8
1,-5,10
-1,-11,12
-5,-9,14
-8,-9,15
-7,-9,15
-6,-4,15
-7,-3,15
-8,-9,11
-8,-10,10
-8,-8,9
-4,-11,7
-1,-11,1
0,-8,-4
-1,-9,-9
-6,-7,-19
-4,-4,-24
-7,-9,-30
